workload_file,origin,n_qubits,k_partitions,best_method,best_cost
ae_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,35
ae_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,47
ae_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,53
ae_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,42
ae_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,56
ae_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,63
ae_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,48
ae_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,63
ae_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,69
ae_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,56
ae_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,74
ae_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,82
ae_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,63
ae_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,85
ae_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,95
ae_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,72
ae_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,94
ae_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,108
ae_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,81
ae_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,107
ae_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,117
ae_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,90
ae_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,120
ae_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,133
ae_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,99
ae_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,131
ae_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,149
ae_indep_qiskit_20.qasm,MQTBench,20,2,greedy_hdh,110
ae_indep_qiskit_20.qasm,MQTBench,20,3,greedy_hdh,147
ae_indep_qiskit_20.qasm,MQTBench,20,4,greedy_hdh,165
dj_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,5
dj_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,7
dj_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,8
dj_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,6
dj_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,8
dj_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,9
dj_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,6
dj_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,8
dj_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,9
dj_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,7
dj_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,9
dj_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,10
dj_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,7
dj_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,10
dj_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,11
dj_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,8
dj_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,10
dj_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,12
dj_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,8
dj_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,11
dj_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,12
dj_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,9
dj_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,12
dj_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,13
dj_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,9
dj_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,12
dj_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,14
dj_indep_qiskit_20.qasm,MQTBench,20,2,greedy_hdh,10
dj_indep_qiskit_20.qasm,MQTBench,20,3,greedy_hdh,13
dj_indep_qiskit_20.qasm,MQTBench,20,4,greedy_hdh,15
ghz_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,2
ghz_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,3
ghz_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,4
ghz_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,2
ghz_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,3
ghz_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,4
ghz_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,2
ghz_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,3
ghz_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,5
ghz_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,2
ghz_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,4
ghz_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,5
ghz_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,3
ghz_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,4
ghz_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,5
ghz_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,2
ghz_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,4
ghz_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,4
ghz_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,2
ghz_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,4
ghz_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,5
ghz_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,2
ghz_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,4
ghz_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,5
ghz_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,3
ghz_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,4
ghz_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,5
ghz_indep_qiskit_20.qasm,MQTBench,20,2,greedy_hdh,3
ghz_indep_qiskit_20.qasm,MQTBench,20,3,greedy_hdh,4
ghz_indep_qiskit_20.qasm,MQTBench,20,4,greedy_hdh,5
graphstate_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,4
graphstate_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,6
graphstate_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,7
graphstate_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,4
graphstate_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,5
graphstate_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,7
graphstate_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,4
