workload_file,origin,n_qubits,k_partitions,best_method,best_cost
ae_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,30
ae_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,40
ae_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,45
ae_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,8
ae_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,12
ae_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,12
ae_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,12
ae_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,16
ae_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,16
ae_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,16
ae_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,21
ae_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,24
ae_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,20
ae_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,27
ae_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,30
ae_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,25
ae_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,33
ae_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,33
dj_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,5
dj_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,6
dj_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,7
dj_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,3
dj_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,4
dj_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,4
dj_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,3
dj_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,4
dj_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,4
dj_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,4
dj_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,6
dj_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,6
dj_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,4
dj_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,5
dj_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,6
dj_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,4
dj_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,6
dj_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,6
ghz_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,1
ghz_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,2
ghz_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,3
ghz_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,1
ghz_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,2
ghz_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,2
ghz_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,1
ghz_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,2
ghz_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,2
ghz_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,1
ghz_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,2
ghz_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,3
ghz_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,1
ghz_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,2
ghz_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,3
ghz_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,1
ghz_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,2
ghz_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,2
graphstate_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,4
graphstate_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,6
graphstate_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,5
graphstate_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,2
graphstate_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,4
graphstate_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,4
graphstate_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,4
graphstate_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,3
graphstate_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,3
graphstate_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,2
graphstate_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,2
graphstate_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,5
