workload_file,model,origin,n_qubits,k_partitions,best_method,best_cost,second_method,second_cost,methods_tested
ae_indep_qiskit_10.qasm,Circuit,MQTBench,10,2,greedy_hdh,30,,,1
ae_indep_qiskit_10.qasm,Circuit,MQTBench,10,3,greedy_hdh,40,,,1
ae_indep_qiskit_10.qasm,Circuit,MQTBench,10,4,greedy_hdh,45,,,1
ae_indep_qiskit_100.qasm,Circuit,MQTBench,100,2,greedy_hdh,2550,,,1
ae_indep_qiskit_100.qasm,Circuit,MQTBench,100,3,greedy_hdh,3400,,,1
ae_indep_qiskit_100.qasm,Circuit,MQTBench,100,4,greedy_hdh,3825,,,1
ae_indep_qiskit_101.qasm,Circuit,MQTBench,101,2,greedy_hdh,2600,,,1
ae_indep_qiskit_101.qasm,Circuit,MQTBench,101,3,greedy_hdh,3467,,,1
ae_indep_qiskit_101.qasm,Circuit,MQTBench,101,4,greedy_hdh,3897,,,1
ae_indep_qiskit_102.qasm,Circuit,MQTBench,102,2,greedy_hdh,2652,,,1
ae_indep_qiskit_102.qasm,Circuit,MQTBench,102,3,greedy_hdh,3536,,,1
ae_indep_qiskit_102.qasm,Circuit,MQTBench,102,4,greedy_hdh,3976,,,1
ae_indep_qiskit_103.qasm,Circuit,MQTBench,103,2,greedy_hdh,2703,,,1
ae_indep_qiskit_103.qasm,Circuit,MQTBench,103,3,greedy_hdh,3603,,,1
ae_indep_qiskit_103.qasm,Circuit,MQTBench,103,4,greedy_hdh,4055,,,1
ae_indep_qiskit_104.qasm,Circuit,MQTBench,104,2,greedy_hdh,2756,,,1
ae_indep_qiskit_104.qasm,Circuit,MQTBench,104,3,greedy_hdh,3674,,,1
ae_indep_qiskit_104.qasm,Circuit,MQTBench,104,4,greedy_hdh,4134,,,1
ae_indep_qiskit_105.qasm,Circuit,MQTBench,105,2,greedy_hdh,2808,,,1
ae_indep_qiskit_105.qasm,Circuit,MQTBench,105,3,greedy_hdh,3745,,,1
ae_indep_qiskit_105.qasm,Circuit,MQTBench,105,4,greedy_hdh,4209,,,1
ae_indep_qiskit_106.qasm,Circuit,MQTBench,106,2,greedy_hdh,2862,,,1
ae_indep_qiskit_106.qasm,Circuit,MQTBench,106,3,greedy_hdh,3814,,,1
ae_indep_qiskit_106.qasm,Circuit,MQTBench,106,4,greedy_hdh,4291,,,1
ae_indep_qiskit_107.qasm,Circuit,MQTBench,107,2,greedy_hdh,2915,,,1
ae_indep_qiskit_107.qasm,Circuit,MQTBench,107,3,greedy_hdh,3887,,,1
ae_indep_qiskit_107.qasm,Circuit,MQTBench,107,4,greedy_hdh,4373,,,1
ae_indep_qiskit_108.qasm,Circuit,MQTBench,108,2,greedy_hdh,2970,,,1
ae_indep_qiskit_108.qasm,Circuit,MQTBench,108,3,greedy_hdh,3960,,,1
ae_indep_qiskit_108.qasm,Circuit,MQTBench,108,4,greedy_hdh,4455,,,1
ae_indep_qiskit_109.qasm,Circuit,MQTBench,109,2,greedy_hdh,3024,,,1
ae_indep_qiskit_109.qasm,Circuit,MQTBench,109,3,greedy_hdh,4031,,,1
ae_indep_qiskit_109.qasm,Circuit,MQTBench,109,4,greedy_hdh,4533,,,1
ae_indep_qiskit_11.qasm,Circuit,MQTBench,11,2,greedy_hdh,35,,,1
ae_indep_qiskit_11.qasm,Circuit,MQTBench,11,3,greedy_hdh,47,,,1
ae_indep_qiskit_11.qasm,Circuit,MQTBench,11,4,greedy_hdh,53,,,1
ae_indep_qiskit_110.qasm,Circuit,MQTBench,110,2,greedy_hdh,3080,,,1
ae_indep_qiskit_110.qasm,Circuit,MQTBench,110,3,greedy_hdh,4106,,,1
ae_indep_qiskit_110.qasm,Circuit,MQTBench,110,4,greedy_hdh,4618,,,1
ae_indep_qiskit_111.qasm,Circuit,MQTBench,111,2,greedy_hdh,3135,,,1
ae_indep_qiskit_111.qasm,Circuit,MQTBench,111,3,greedy_hdh,4181,,,1
ae_indep_qiskit_111.qasm,Circuit,MQTBench,111,4,greedy_hdh,4703,,,1
ae_indep_qiskit_112.qasm,Circuit,MQTBench,112,2,greedy_hdh,3192,,,1
ae_indep_qiskit_112.qasm,Circuit,MQTBench,112,3,greedy_hdh,4254,,,1
ae_indep_qiskit_112.qasm,Circuit,MQTBench,112,4,greedy_hdh,4788,,,1
ae_indep_qiskit_113.qasm,Circuit,MQTBench,113,2,greedy_hdh,3248,,,1
ae_indep_qiskit_113.qasm,Circuit,MQTBench,113,3,greedy_hdh,4331,,,1
ae_indep_qiskit_113.qasm,Circuit,MQTBench,113,4,greedy_hdh,4869,,,1
ae_indep_qiskit_114.qasm,Circuit,MQTBench,114,2,greedy_hdh,3306,,,1
ae_indep_qiskit_114.qasm,Circuit,MQTBench,114,3,greedy_hdh,4408,,,1
ae_indep_qiskit_114.qasm,Circuit,MQTBench,114,4,greedy_hdh,4957,,,1
ae_indep_qiskit_115.qasm,Circuit,MQTBench,115,2,greedy_hdh,3363,,,1
ae_indep_qiskit_115.qasm,Circuit,MQTBench,115,3,greedy_hdh,4483,,,1
ae_indep_qiskit_115.qasm,Circuit,MQTBench,115,4,greedy_hdh,5045,,,1
ae_indep_qiskit_116.qasm,Circuit,MQTBench,116,2,greedy_hdh,3422,,,1
ae_indep_qiskit_116.qasm,Circuit,MQTBench,116,3,greedy_hdh,4562,,,1
ae_indep_qiskit_116.qasm,Circuit,MQTBench,116,4,greedy_hdh,5133,,,1
ae_indep_qiskit_117.qasm,Circuit,MQTBench,117,2,greedy_hdh,3480,,,1
ae_indep_qiskit_117.qasm,Circuit,MQTBench,117,3,greedy_hdh,4641,,,1
ae_indep_qiskit_117.qasm,Circuit,MQTBench,117,4,greedy_hdh,5217,,,1
ae_indep_qiskit_118.qasm,Circuit,MQTBench,118,2,greedy_hdh,3540,,,1
ae_indep_qiskit_118.qasm,Circuit,MQTBench,118,3,greedy_hdh,4718,,,1
ae_indep_qiskit_118.qasm,Circuit,MQTBench,118,4,greedy_hdh,5308,,,1
ae_indep_qiskit_119.qasm,Circuit,MQTBench,119,2,greedy_hdh,3599,,,1
ae_indep_qiskit_119.qasm,Circuit,MQTBench,119,3,greedy_hdh,4799,,,1
ae_indep_qiskit_119.qasm,Circuit,MQTBench,119,4,greedy_hdh,5399,,,1
ae_indep_qiskit_12.qasm,Circuit,MQTBench,12,2,greedy_hdh,42,,,1
ae_indep_qiskit_12.qasm,Circuit,MQTBench,12,3,greedy_hdh,56,,,1
ae_indep_qiskit_12.qasm,Circuit,MQTBench,12,4,greedy_hdh,63,,,1
ae_indep_qiskit_120.qasm,Circuit,MQTBench,120,2,greedy_hdh,3660,,,1
ae_indep_qiskit_120.qasm,Circuit,MQTBench,120,3,greedy_hdh,4880,,,1
ae_indep_qiskit_120.qasm,Circuit,MQTBench,120,4,greedy_hdh,5490,,,1
ae_indep_qiskit_121.qasm,Circuit,MQTBench,121,2,greedy_hdh,3720,,,1
ae_indep_qiskit_121.qasm,Circuit,MQTBench,121,3,greedy_hdh,4959,,,1
ae_indep_qiskit_121.qasm,Circuit,MQTBench,121,4,greedy_hdh,5577,,,1
ae_indep_qiskit_122.qasm,Circuit,MQTBench,122,2,greedy_hdh,3782,,,1
ae_indep_qiskit_122.qasm,Circuit,MQTBench,122,3,greedy_hdh,5042,,,1
ae_indep_qiskit_122.qasm,Circuit,MQTBench,122,4,greedy_hdh,5671,,,1
ae_indep_qiskit_123.qasm,Circuit,MQTBench,123,2,greedy_hdh,3843,,,1
ae_indep_qiskit_123.qasm,Circuit,MQTBench,123,3,greedy_hdh,5125,,,1
ae_indep_qiskit_123.qasm,Circuit,MQTBench,123,4,greedy_hdh,5765,,,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,2,greedy_hdh,3906,,,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,3,greedy_hdh,5206,,,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,4,greedy_hdh,5859,,,1
