test,k,cap,num_qubits,num_nodes,num_edges,cut_cost,avg_parallelism,avg_fair_parallelism,balance_ratio,method
size_16,4,4,16,336,415,33.0,19.761904761904763,15.095238095238095,0.569620253164557,temporal_greedy
size_32,4,8,32,672,831,56.0,39.57142857142857,31.047619047619047,0.66,temporal_greedy
size_64,4,16,64,1344,1675,136.0,79.76190476190476,47.714285714285715,0.5572519083969466,temporal_greedy
size_128,4,32,128,2688,3332,468.0,158.66666666666666,136.23809523809524,0.8426073131955485,temporal_greedy
qpu_2,2,32,64,1344,1675,242.0,79.76190476190476,69.76190476190476,0.9932203389830508,temporal_greedy
qpu_4,4,16,64,1344,1675,136.0,79.76190476190476,47.714285714285715,0.5572519083969466,temporal_greedy
qpu_6,6,11,64,1344,1675,157.0,79.76190476190476,49.142857142857146,0.4587628865979381,temporal_greedy
qpu_8,8,8,64,1344,1675,209.0,79.76190476190476,49.142857142857146,0.3586206896551724,temporal_greedy
model_Circuit,4,16,64,1024,1260,129.0,78.75,49.625,0.6666666666666666,temporal_greedy
model_MBQC,4,16,64,960,1875,135.0,125.0,125.0,1.0,temporal_greedy
model_QW,4,16,64,960,945,45.0,63.0,63.0,1.0,temporal_greedy
model_QCA,4,16,64,960,1680,390.0,112.0,112.0,1.0,temporal_greedy
