k,num_qubits,cap_q,slack_target,slack,feasible,seed,violated_capacity_aware,kh_ran,kh_exception,violated_kahypar,kahypar_violation_magnitude
2,8,4,0,0,True,0,False,True,,True,2
2,8,5,1,2,True,0,False,True,,True,1
2,8,5,2,2,True,0,False,True,,True,1
2,8,6,4,4,True,0,False,True,,False,0
2,8,8,8,8,True,0,False,True,,False,0
3,8,3,0,1,True,0,False,True,,True,1
3,8,3,1,1,True,0,False,True,,True,1
3,8,4,2,4,True,0,False,True,,False,0
3,8,4,4,4,True,0,False,True,,False,0
3,8,6,8,10,True,0,False,True,,False,0
4,8,2,0,0,True,0,False,True,,True,4
4,8,3,1,4,True,0,False,True,,True,3
4,8,3,2,4,True,0,False,True,,True,3
4,8,3,4,4,True,0,False,True,,True,3
4,8,4,8,8,True,0,False,True,,True,2
2,8,4,0,0,True,1,False,True,,False,0
2,8,5,1,2,True,1,False,True,,False,0
2,8,5,2,2,True,1,False,True,,False,0
2,8,6,4,4,True,1,False,True,,False,0
2,8,8,8,8,True,1,False,True,,False,0
3,8,3,0,1,True,1,False,True,,True,3
3,8,3,1,1,True,1,False,True,,True,3
3,8,4,2,4,True,1,False,True,,True,2
3,8,4,4,4,True,1,False,True,,True,2
3,8,6,8,10,True,1,False,True,,False,0
4,8,2,0,0,True,1,False,True,,True,2
4,8,3,1,4,True,1,False,True,,True,1
4,8,3,2,4,True,1,False,True,,True,1
4,8,3,4,4,True,1,False,True,,True,1
4,8,4,8,8,True,1,False,True,,False,0
2,8,4,0,0,True,2,False,True,,True,1
2,8,5,1,2,True,2,False,True,,False,0
2,8,5,2,2,True,2,False,True,,False,0
2,8,6,4,4,True,2,False,True,,False,0
2,8,8,8,8,True,2,False,True,,False,0
3,8,3,0,1,True,2,False,True,,True,3
3,8,3,1,1,True,2,False,True,,True,3
3,8,4,2,4,True,2,False,True,,True,2
3,8,4,4,4,True,2,False,True,,True,2
3,8,6,8,10,True,2,False,True,,False,0
4,8,2,0,0,True,2,False,True,,True,3
4,8,3,1,4,True,2,False,True,,True,2
4,8,3,2,4,True,2,False,True,,True,2
4,8,3,4,4,True,2,False,True,,True,2
4,8,4,8,8,True,2,False,True,,True,1
2,8,4,0,0,True,3,False,True,,False,0
2,8,5,1,2,True,3,False,True,,False,0
2,8,5,2,2,True,3,False,True,,False,0
2,8,6,4,4,True,3,False,True,,False,0
2,8,8,8,8,True,3,False,True,,False,0
3,8,3,0,1,True,3,False,True,,True,3
3,8,3,1,1,True,3,False,True,,True,3
3,8,4,2,4,True,3,False,True,,True,2
3,8,4,4,4,True,3,False,True,,True,2
3,8,6,8,10,True,3,False,True,,False,0
4,8,2,0,0,True,3,False,True,,True,2
4,8,3,1,4,True,3,False,True,,True,1
4,8,3,2,4,True,3,False,True,,True,1
4,8,3,4,4,True,3,False,True,,True,1
4,8,4,8,8,True,3,False,True,,False,0
2,8,4,0,0,True,4,False,True,,False,0
2,8,5,1,2,True,4,False,True,,False,0
2,8,5,2,2,True,4,False,True,,False,0
2,8,6,4,4,True,4,False,True,,False,0
2,8,8,8,8,True,4,False,True,,False,0
3,8,3,0,1,True,4,False,True,,True,1
3,8,3,1,1,True,4,False,True,,True,1
3,8,4,2,4,True,4,False,True,,False,0
3,8,4,4,4,True,4,False,True,,False,0
3,8,6,8,10,True,4,False,True,,False,0
4,8,2,0,0,True,4,False,True,,True,2
4,8,3,1,4,True,4,False,True,,True,1
4,8,3,2,4,True,4,False,True,,True,1
4,8,3,4,4,True,4,False,True,,True,1
4,8,4,8,8,True,4,False,True,,False,0
2,12,6,0,0,True,0,False,True,,True,2
2,12,7,1,2,True,0,False,True,,True,1
2,12,7,2,2,True,0,False,True,,True,1
2,12,8,4,4,True,0,False,True,,False,0
2,12,10,8,8,True,0,False,True,,False,0
3,12,4,0,0,True,0,False,True,,False,0
3,12,5,1,3,True,0,False,True,,False,0
3,12,5,2,3,True,0,False,True,,False,0
3,12,6,4,6,True,0,False,True,,False,0
3,12,7,8,9,True,0,False,True,,False,0
4,12,3,0,0,True,0,False,True,,True,5
4,12,4,1,4,True,0,False,True,,True,4
4,12,4,2,4,True,0,False,True,,True,4
4,12,4,4,4,True,0,False,True,,True,4
4,12,5,8,8,True,0,False,True,,True,3
2,12,6,0,0,True,1,False,True,,True,1
2,12,7,1,2,True,1,False,True,,False,0
2,12,7,2,2,True,1,False,True,,False,0
2,12,8,4,4,True,1,False,True,,False,0
2,12,10,8,8,True,1,False,True,,False,0
3,12,4,0,0,True,1,False,True,,True,1
3,12,5,1,3,True,1,False,True,,False,0
3,12,5,2,3,True,1,False,True,,False,0
3,12,6,4,6,True,1,False,True,,False,0
