algorithm,count,mean_optimality,median_optimality,std_optimality,min_optimality,max_optimality,mean_optimal_cost,mean_heuristic_cost
tsp,6,0.2155172413793103,0.21551724137931033,3.0404709722440586e-17,0.21551724137931033,0.21551724137931033,50.0,232.0
vqe,18,0.22587896296567367,0.16194597429845264,0.187452856420132,0.12903225806451613,0.9302325581395349,24.444444444444443,124.38888888888889
pricingput,6,0.2399535512364128,0.2399535512364128,0.07163111248711221,0.1745635910224439,0.3053435114503817,75.0,331.5
pricingcall,6,0.2399535512364128,0.2399535512364128,0.07163111248711221,0.1745635910224439,0.3053435114503817,75.0,331.5
ghz,18,0.25685660889701495,0.18867924528301888,0.1678955284504489,0.18518518518518517,0.8695652173913043,12.222222222222221,51.5
wstate,18,0.267731046613188,0.23809523809523808,0.1726372372540867,0.17391304347826086,0.9302325581395349,24.444444444444443,98.83333333333333
dj,18,0.33264264100457464,0.37735849056603776,0.18548909663351493,0.16129032258064516,0.9523809523809523,18.88888888888889,61.888888888888886
ae,18,0.33282698958772516,0.2803738317757009,0.16899436430380937,0.2097902097902098,0.9433962264150944,62.77777777777778,197.16666666666666
qwalk-noancilla,18,0.35269575025934735,0.4086115992970123,0.19865682968011777,0.16620498614958448,0.9836065573770492,733.3333333333334,2200.0555555555557
qft,12,0.3583381143622108,0.35714285714285715,0.19581509101224442,0.24096385542168675,0.9523809523809523,31.666666666666668,94.08333333333333
graphstate,18,0.3623269306139677,0.31746031746031744,0.1869190455671265,0.23809523809523808,0.9375,22.22222222222222,67.94444444444444
qpeexact,18,0.41588918795843144,0.36585365853658536,0.2762269569074628,0.14084507042253522,0.9375,37.77777777777778,93.0
qwalk-v-chain,12,0.4321152253277856,0.38054968287526425,0.2947529841966691,0.16620498614958448,0.9836065573770492,140.0,359.5833333333333
grover-noancilla,18,0.4408882432889422,0.48338368580060426,0.15816890070891215,0.2912621359223301,0.9523809523809523,315.0,716.6111111111111
qaoa,18,0.4428068311512757,0.49382716049382713,0.18009053761528032,0.26490066225165565,0.967741935483871,44.44444444444444,110.22222222222223
grover-v-chain,18,0.446042998143136,0.48338368580060426,0.167427989990076,0.2912621359223301,0.9523809523809523,245.0,545.4444444444445
qftentangled,18,0.44663084401017245,0.36809815950920244,0.21623063498307118,0.27972027972027974,0.967741935483871,67.77777777777777,158.66666666666666
qpeinexact,18,0.4555740941319686,0.43478260869565216,0.2579021266663558,0.19801980198019803,0.9523809523809523,44.44444444444444,105.22222222222223
qnn,18,0.5208498096360473,0.4941860465116279,0.23585987287210852,0.3082191780821918,0.9790209790209791,187.77777777777777,373.55555555555554
groundstate,6,0.5263157894736842,0.5263157894736842,0.0,0.5263157894736842,0.5263157894736842,80.0,152.0
portfolioqaoa,18,0.5317087177312279,0.5405405405405406,0.244660503411689,0.2843601895734597,0.9782608695652174,131.66666666666666,258.22222222222223
portfoliovqe,18,0.5317087177312279,0.5405405405405406,0.244660503411689,0.2843601895734597,0.9782608695652174,131.66666666666666,258.22222222222223
