circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
portfolioqaoa_indep_qiskit_8,8,552,544,460,3,1.0,3,68,56.0,0.8235294117647058,0.3394160270690918,0.08946919441223145,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
portfolioqaoa_indep_qiskit_8,8,552,544,460,3,1.1,3,68,56.0,0.8235294117647058,0.3350389003753662,0.036535024642944336,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
portfolioqaoa_indep_qiskit_8,8,552,544,460,3,1.2,4,52,75.0,1.4423076923076923,0.9617149829864502,0.030187129974365234,QUBIT-LEVEL,"[4, 4, 0]","[4, 4, 4]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.0,2,5,11.0,2.2,0.001432657241821289,0.0005061626434326172,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.1,2,5,11.0,2.2,0.0013797283172607422,0.0004942417144775391,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.2,2,5,11.0,2.2,0.001374959945678711,0.0005962848663330078,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.0,2,4,12.0,3.0,0.0012898445129394531,0.0004260540008544922,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.1,2,4,12.0,3.0,0.0012581348419189453,0.00042891502380371094,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.2,2,4,12.0,3.0,0.0013279914855957031,0.00043082237243652344,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_5,5,67,62,54,3,1.0,2,7,16.0,2.2857142857142856,0.0027217864990234375,0.0008139610290527344,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
wstate_indep_qiskit_5,5,67,62,54,3,1.1,2,7,16.0,2.2857142857142856,0.002633810043334961,0.0007870197296142578,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
wstate_indep_qiskit_5,5,67,62,54,3,1.2,2,7,16.0,2.2857142857142856,0.0025339126586914062,0.0009517669677734375,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_5,5,90,86,73,3,1.0,2,10,11.0,1.1,0.003427743911743164,0.0012679100036621094,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_5,5,90,86,73,3,1.1,2,10,11.0,1.1,0.00362396240234375,0.0014109611511230469,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_5,5,90,86,73,3,1.2,2,10,11.0,1.1,0.0034990310668945312,0.0034389495849609375,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qwalk-v-chain_indep_qiskit_7,7,561,554,440,3,1.0,3,46,91.0,1.9782608695652173,0.21261215209960938,0.04298973083496094,QUBIT-LEVEL,"[3, 1, 3]","[3, 3, 3]"
qwalk-v-chain_indep_qiskit_7,7,561,554,440,3,1.1,3,46,91.0,1.9782608695652173,0.22593998908996582,0.04253697395324707,QUBIT-LEVEL,"[3, 1, 3]","[3, 3, 3]"
qwalk-v-chain_indep_qiskit_7,7,561,554,440,3,1.2,3,46,91.0,1.9782608695652173,0.21559786796569824,0.044954776763916016,QUBIT-LEVEL,"[3, 1, 3]","[3, 3, 3]"
portfolioqaoa_indep_qiskit_9,9,702,693,585,3,1.0,3,87,57.0,0.6551724137931034,0.44524383544921875,0.06210017204284668,QUBIT-LEVEL,"[3, 3, 3]","[3, 3, 3]"
portfolioqaoa_indep_qiskit_9,9,702,693,585,3,1.1,4,77,99.0,1.2857142857142858,2.770401954650879,0.04798412322998047,QUBIT-LEVEL,"[4, 4, 1]","[4, 4, 4]"
