circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
portfolioqaoa_indep_qiskit_8,8,552,544,460,3,1.0,3,68.0,56.0,0.8235294117647058,0.443713903427124,0.03750181198120117,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
portfolioqaoa_indep_qiskit_8,8,552,544,460,3,1.1,3,68.0,56.0,0.8235294117647058,0.44201087951660156,0.0368199348449707,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
portfolioqaoa_indep_qiskit_8,8,552,544,460,3,1.2,4,52.0,75.0,1.4423076923076923,1.3060190677642822,0.029047250747680664,QUBIT-LEVEL,"[4, 4, 0]","[4, 4, 4]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.0,2,5.0,11.0,2.2,0.0017671585083007812,0.0005011558532714844,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.1,2,5.0,11.0,2.2,0.0015931129455566406,0.0004742145538330078,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.2,2,5.0,11.0,2.2,0.0016791820526123047,0.00047588348388671875,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.0,2,4.0,12.0,3.0,0.0015020370483398438,0.0004200935363769531,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.1,2,4.0,12.0,3.0,0.0015048980712890625,0.00041294097900390625,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.2,2,4.0,12.0,3.0,0.0014846324920654297,0.00040793418884277344,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_5,5,67,62,54,3,1.0,2,7.0,16.0,2.2857142857142856,0.0033609867095947266,0.0007948875427246094,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
