circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.0,2,40.0,92.0,2.3,0.04987597465515137,0.0006101131439208984,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.1,2,40.0,92.0,2.3,0.03852963447570801,0.0005640983581542969,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.2,2,40.0,92.0,2.3,0.03850388526916504,0.0005450248718261719,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.3,2,40.0,92.0,2.3,0.038244009017944336,0.0005278587341308594,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.4,2,40.0,92.0,2.3,0.037911176681518555,0.0005609989166259766,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.5,2,40.0,92.0,2.3,0.038340091705322266,0.0005371570587158203,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.0,2,20.0,84.0,4.2,0.10438299179077148,0.00046515464782714844,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.1,2,20.0,84.0,4.2,0.10408926010131836,0.00046706199645996094,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.2,2,20.0,84.0,4.2,0.10547089576721191,0.0005230903625488281,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.3,2,20.0,84.0,4.2,0.10499024391174316,0.0005419254302978516,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.4,2,20.0,84.0,4.2,0.10549616813659668,0.0005388259887695312,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.5,2,20.0,84.0,4.2,0.10549402236938477,0.0004971027374267578,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.0,2,40.0,124.0,3.1,0.6780750751495361,0.0008687973022460938,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.1,2,40.0,124.0,3.1,0.6763849258422852,0.0008640289306640625,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.2,2,40.0,124.0,3.1,0.6756041049957275,0.0008482933044433594,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.3,3,20.0,115.0,5.75,1.5605089664459229,0.00047898292541503906,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.4,3,20.0,115.0,5.75,1.5783166885375977,0.0004773139953613281,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
