circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.0,2,5,11.0,2.2,0.0014200210571289062,0.0005152225494384766,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.1,2,5,11.0,2.2,0.0013020038604736328,0.0004527568817138672,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_4,4,56,53,45,3,1.2,2,5,11.0,2.2,0.0012888908386230469,0.0005738735198974609,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.0,2,4,12.0,3.0,0.0016388893127441406,0.0004980564117431641,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.1,2,4,12.0,3.0,0.001283884048461914,0.00043320655822753906,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_4,4,51,47,41,3,1.2,2,4,12.0,3.0,0.0013272762298583984,0.00040078163146972656,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_5,5,67,62,54,3,1.0,2,7,16.0,2.2857142857142856,0.0025031566619873047,0.0009016990661621094,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
wstate_indep_qiskit_5,5,67,62,54,3,1.1,2,7,16.0,2.2857142857142856,0.0024261474609375,0.0007779598236083984,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
wstate_indep_qiskit_5,5,67,62,54,3,1.2,2,7,16.0,2.2857142857142856,0.0023920536041259766,0.0009441375732421875,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_5,5,90,86,73,3,1.0,2,10,11.0,1.1,0.003431081771850586,0.001168966293334961,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_5,5,90,86,73,3,1.1,2,10,11.0,1.1,0.0031480789184570312,0.0013439655303955078,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_5,5,90,86,73,3,1.2,2,10,11.0,1.1,0.003408193588256836,0.0011289119720458984,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
twolocalrandom_indep_qiskit_3,3,72,69,60,3,1.0,1,11,11.0,1.0,0.0004711151123046875,0.000804901123046875,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
twolocalrandom_indep_qiskit_3,3,72,69,60,3,1.1,2,7,22.0,3.142857142857143,0.0008320808410644531,0.0006756782531738281,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
twolocalrandom_indep_qiskit_3,3,72,69,60,3,1.2,2,7,22.0,3.142857142857143,0.001065969467163086,0.0007302761077880859,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,222,3,1.0,2,27,40.0,1.4814814814814814,0.009186029434204102,0.01184701919555664,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,222,3,1.1,2,27,40.0,1.4814814814814814,0.009306192398071289,0.01183009147644043,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,222,3,1.2,2,27,40.0,1.4814814814814814,0.008938312530517578,0.047338008880615234,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qwalk-noancilla_indep_qiskit_4,4,696,692,590,3,1.0,2,62,139.0,2.2419354838709675,0.014816045761108398,0.05536818504333496,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qwalk-noancilla_indep_qiskit_4,4,696,692,590,3,1.1,2,62,139.0,2.2419354838709675,0.014333963394165039,0.058303117752075195,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qwalk-noancilla_indep_qiskit_4,4,696,692,590,3,1.2,2,62,139.0,2.2419354838709675,0.015540838241577148,0.06009793281555176,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
tsp_indep_qiskit_4,4,122,118,103,3,1.0,2,7,25.0,3.5714285714285716,0.002749919891357422,0.0019838809967041016,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
tsp_indep_qiskit_4,4,122,118,103,3,1.1,2,7,25.0,3.5714285714285716,0.0027680397033691406,0.0018839836120605469,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
tsp_indep_qiskit_4,4,122,118,103,3,1.2,2,7,25.0,3.5714285714285716,0.0026390552520751953,0.002028942108154297,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qaoa_indep_qiskit_3,3,51,48,42,3,1.0,1,8,8.0,1.0,0.00037217140197753906,0.0004420280456542969,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
qaoa_indep_qiskit_3,3,51,48,42,3,1.1,2,5,16.0,3.2,0.0006721019744873047,0.0003719329833984375,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qaoa_indep_qiskit_3,3,51,48,42,3,1.2,2,5,16.0,3.2,0.0009350776672363281,0.0003628730773925781,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
twolocalrandom_indep_qiskit_2,2,30,28,25,3,1.0,1,4,5.0,1.25,0.00031185150146484375,0.00022220611572265625,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
