circuit,overhead,cut_cost,num_qubits,num_nodes,num_hyperedges,k,cap
qnn_indep_qiskit_69,1.0,117,61818,0,0,4,15454
qnn_indep_qiskit_69,1.1,117,61818,0,0,4,16999
qnn_indep_qiskit_69,1.2,117,61818,0,0,4,18545
qnn_indep_qiskit_69,1.3,117,61818,0,0,4,20090
qnn_indep_qiskit_69,1.5,117,61818,0,0,4,23181
qnn_indep_qiskit_69,2.0,117,61818,0,0,4,30909
portfolioqaoa_indep_qiskit_8,1.0,6,552,0,0,4,138
portfolioqaoa_indep_qiskit_8,1.1,6,552,0,0,4,151
portfolioqaoa_indep_qiskit_8,1.2,6,552,0,0,4,165
portfolioqaoa_indep_qiskit_8,1.3,6,552,0,0,4,179
portfolioqaoa_indep_qiskit_8,1.5,6,552,0,0,4,207
portfolioqaoa_indep_qiskit_8,2.0,6,552,0,0,4,276
qnn_indep_qiskit_55,1.0,92,39264,0,0,4,9816
qnn_indep_qiskit_55,1.1,92,39264,0,0,4,10797
qnn_indep_qiskit_55,1.2,92,39264,0,0,4,11779
qnn_indep_qiskit_55,1.3,92,39264,0,0,4,12760
qnn_indep_qiskit_55,1.5,92,39264,0,0,4,14724
qnn_indep_qiskit_55,2.0,92,39264,0,0,4,19632
qnn_indep_qiskit_41,1.0,68,21806,0,0,4,5451
qnn_indep_qiskit_41,1.1,68,21806,0,0,4,5996
qnn_indep_qiskit_41,1.2,68,21806,0,0,4,6541
qnn_indep_qiskit_41,1.3,68,21806,0,0,4,7086
qnn_indep_qiskit_41,1.5,68,21806,0,0,4,8177
qnn_indep_qiskit_41,2.0,68,21806,0,0,4,10903
graphstate_indep_qiskit_31,1.0,107,279,0,0,4,69
graphstate_indep_qiskit_31,1.1,107,279,0,0,4,76
graphstate_indep_qiskit_31,1.2,107,279,0,0,4,83
graphstate_indep_qiskit_31,1.3,107,279,0,0,4,90
graphstate_indep_qiskit_31,1.5,107,279,0,0,4,104
graphstate_indep_qiskit_31,2.0,107,279,0,0,4,139
wstate_indep_qiskit_71,1.0,580,1123,0,0,4,280
wstate_indep_qiskit_71,1.1,580,1123,0,0,4,308
wstate_indep_qiskit_71,1.2,580,1123,0,0,4,336
wstate_indep_qiskit_71,1.3,580,1123,0,0,4,364
wstate_indep_qiskit_71,1.5,580,1123,0,0,4,421
wstate_indep_qiskit_71,2.0,580,1123,0,0,4,561
graphstate_indep_qiskit_25,1.0,72,225,0,0,4,56
graphstate_indep_qiskit_25,1.1,72,225,0,0,4,61
graphstate_indep_qiskit_25,1.2,72,225,0,0,4,67
graphstate_indep_qiskit_25,1.3,72,225,0,0,4,73
graphstate_indep_qiskit_25,1.5,72,225,0,0,4,84
graphstate_indep_qiskit_25,2.0,72,225,0,0,4,112
wstate_indep_qiskit_65,1.0,523,1027,0,0,4,256
wstate_indep_qiskit_65,1.1,523,1027,0,0,4,282
wstate_indep_qiskit_65,1.2,523,1027,0,0,4,308
wstate_indep_qiskit_65,1.3,523,1027,0,0,4,333
wstate_indep_qiskit_65,1.5,523,1027,0,0,4,385
wstate_indep_qiskit_65,2.0,523,1027,0,0,4,513
qpeinexact_indep_qiskit_28,1.0,21,2456,0,0,4,614
qpeinexact_indep_qiskit_28,1.1,21,2456,0,0,4,675
qpeinexact_indep_qiskit_28,1.2,21,2456,0,0,4,736
qpeinexact_indep_qiskit_28,1.3,21,2456,0,0,4,798
qpeinexact_indep_qiskit_28,1.5,21,2456,0,0,4,921
qpeinexact_indep_qiskit_28,2.0,21,2456,0,0,4,1228
qnn_indep_qiskit_96,1.0,72,119706,0,0,4,29926
qnn_indep_qiskit_96,1.1,72,119706,0,0,4,32919
qnn_indep_qiskit_96,1.2,72,119706,0,0,4,35911
qnn_indep_qiskit_96,1.3,72,119706,0,0,4,38904
qnn_indep_qiskit_96,1.5,72,119706,0,0,4,44889
qnn_indep_qiskit_96,2.0,72,119706,0,0,4,59853
qnn_indep_qiskit_82,1.0,140,87324,0,0,4,21831
qnn_indep_qiskit_82,1.1,140,87324,0,0,4,24014
qnn_indep_qiskit_82,1.2,140,87324,0,0,4,26197
