circuit,k,cut_cost,num_qubits,num_nodes,max_partition_size,min_partition_size,avg_partition_size
qnn_indep_qiskit_69,2,102,61818,0,61749,69,30909.0
qnn_indep_qiskit_69,4,117,61818,0,61715,34,15454.5
qnn_indep_qiskit_69,8,121,61818,0,61698,17,7727.25
qnn_indep_qiskit_69,16,118,61818,0,61689,8,3863.625
portfolioqaoa_indep_qiskit_8,2,4,552,0,544,8,276.0
portfolioqaoa_indep_qiskit_8,4,6,552,0,540,4,138.0
portfolioqaoa_indep_qiskit_8,8,7,552,0,538,2,69.0
portfolioqaoa_indep_qiskit_8,16,7,552,0,538,0,34.5
qnn_indep_qiskit_55,2,81,39264,0,39209,55,19632.0
qnn_indep_qiskit_55,4,92,39264,0,39182,27,9816.0
qnn_indep_qiskit_55,8,95,39264,0,39168,13,4908.0
qnn_indep_qiskit_55,16,91,39264,0,39161,6,2454.0
qnn_indep_qiskit_41,2,60,21806,0,21765,41,10903.0
qnn_indep_qiskit_41,4,68,21806,0,21745,20,5451.5
qnn_indep_qiskit_41,8,69,21806,0,21735,10,2725.75
qnn_indep_qiskit_41,16,63,21806,0,21730,5,1362.875
graphstate_indep_qiskit_31,2,77,279,0,150,129,139.5
graphstate_indep_qiskit_31,4,107,279,0,95,37,69.75
graphstate_indep_qiskit_31,8,87,279,0,75,17,34.875
graphstate_indep_qiskit_31,16,83,279,0,65,7,17.4375
wstate_indep_qiskit_71,2,452,1123,0,620,503,561.5
wstate_indep_qiskit_71,4,580,1123,0,373,247,280.75
wstate_indep_qiskit_71,8,710,1123,0,250,123,140.375
wstate_indep_qiskit_71,16,638,1123,0,189,48,70.1875
graphstate_indep_qiskit_25,2,53,225,0,119,106,112.5
graphstate_indep_qiskit_25,4,72,225,0,65,44,56.25
graphstate_indep_qiskit_25,8,62,225,0,49,12,28.125
graphstate_indep_qiskit_25,16,55,225,0,41,5,14.0625
wstate_indep_qiskit_65,2,407,1027,0,572,455,513.5
wstate_indep_qiskit_65,4,523,1027,0,349,223,256.75
wstate_indep_qiskit_65,8,634,1027,0,238,111,128.375
wstate_indep_qiskit_65,16,559,1027,0,183,42,64.1875
qpeinexact_indep_qiskit_28,2,14,2456,0,2428,28,1228.0
qpeinexact_indep_qiskit_28,4,21,2456,0,2414,14,614.0
qpeinexact_indep_qiskit_28,8,45,2456,0,2407,7,307.0
qpeinexact_indep_qiskit_28,16,38,2456,0,2404,3,153.5
qnn_indep_qiskit_96,2,48,119706,0,119610,96,59853.0
qnn_indep_qiskit_96,4,72,119706,0,119562,48,29926.5
qnn_indep_qiskit_96,8,84,119706,0,119538,24,14963.25
qnn_indep_qiskit_96,16,90,119706,0,119526,12,7481.625
qnn_indep_qiskit_82,2,41,87324,0,87242,82,43662.0
qnn_indep_qiskit_82,4,140,87324,0,87201,41,21831.0
qnn_indep_qiskit_82,8,146,87324,0,87181,20,10915.5
qnn_indep_qiskit_82,16,143,87324,0,87171,10,5457.75
graphstate_indep_qiskit_19,2,35,171,0,96,75,85.5
graphstate_indep_qiskit_19,4,42,171,0,66,30,42.75
graphstate_indep_qiskit_19,8,41,171,0,50,7,21.375
graphstate_indep_qiskit_19,16,25,171,0,46,2,10.6875
wstate_indep_qiskit_59,2,364,931,0,524,407,465.5
wstate_indep_qiskit_59,4,463,931,0,325,199,232.75
wstate_indep_qiskit_59,8,555,931,0,226,99,116.375
wstate_indep_qiskit_59,16,480,931,0,177,36,58.1875
qpeinexact_indep_qiskit_14,2,7,636,0,622,14,318.0
qpeinexact_indep_qiskit_14,4,21,636,0,615,7,159.0
qpeinexact_indep_qiskit_14,8,18,636,0,612,3,79.5
qpeinexact_indep_qiskit_14,16,13,636,0,610,0,39.75
graphstate_indep_qiskit_114,2,211,1026,0,524,502,513.0
graphstate_indep_qiskit_114,4,559,1026,0,280,236,256.5
graphstate_indep_qiskit_114,8,622,1026,0,155,112,128.25
graphstate_indep_qiskit_114,16,587,1026,0,105,48,64.125
dj_indep_qiskit_115,2,171,1142,0,1027,115,571.0
dj_indep_qiskit_115,4,197,1142,0,970,57,285.5
dj_indep_qiskit_115,8,208,1142,0,941,28,142.75
dj_indep_qiskit_115,16,310,1142,0,686,22,71.375
ghz_indep_qiskit_51,2,105,403,0,232,171,201.5
ghz_indep_qiskit_51,4,191,403,0,148,84,100.75
ghz_indep_qiskit_51,8,214,403,0,106,42,50.375
ghz_indep_qiskit_51,16,179,403,0,85,14,25.1875
ghz_indep_qiskit_45,2,87,355,0,208,147,177.5
ghz_indep_qiskit_45,4,161,355,0,136,72,88.75
ghz_indep_qiskit_45,8,178,355,0,100,36,44.375
ghz_indep_qiskit_45,16,144,355,0,82,11,22.1875
dj_indep_qiskit_101,2,150,1002,0,901,101,501.0
dj_indep_qiskit_101,4,173,1002,0,851,50,250.5
dj_indep_qiskit_101,8,181,1002,0,826,25,125.25
dj_indep_qiskit_101,16,343,1002,0,607,26,62.625
portfolioqaoa_indep_qiskit_16,2,8,2256,0,2240,16,1128.0
portfolioqaoa_indep_qiskit_16,4,12,2256,0,2232,8,564.0
portfolioqaoa_indep_qiskit_16,8,14,2256,0,2228,4,282.0
portfolioqaoa_indep_qiskit_16,16,15,2256,0,2226,2,141.0
graphstate_indep_qiskit_100,2,188,900,0,464,436,450.0
graphstate_indep_qiskit_100,4,284,900,0,255,191,225.0
graphstate_indep_qiskit_100,8,463,900,0,150,85,112.5
graphstate_indep_qiskit_100,16,433,900,0,100,35,56.25
dj_indep_qiskit_129,2,192,1282,0,1153,129,641.0
dj_indep_qiskit_129,4,222,1282,0,1089,64,320.5
dj_indep_qiskit_129,8,234,1282,0,1057,32,160.25
dj_indep_qiskit_129,16,271,1282,0,768,19,80.125
qnn_indep_qiskit_103,2,153,137808,0,137705,103,68904.0
qnn_indep_qiskit_103,4,176,137808,0,137654,51,34452.0
qnn_indep_qiskit_103,8,185,137808,0,137628,25,17226.0
qnn_indep_qiskit_103,16,184,137808,0,137615,12,8613.0
graphstate_indep_qiskit_128,2,257,1152,0,605,547,576.0
graphstate_indep_qiskit_128,4,521,1152,0,327,270,288.0
graphstate_indep_qiskit_128,8,633,1152,0,191,127,144.0
graphstate_indep_qiskit_128,16,579,1152,0,122,58,72.0
qftentangled_indep_qiskit_63,2,2820,12466,0,7435,5031,6233.0
qftentangled_indep_qiskit_63,4,4525,12466,0,5266,2166,3116.5
qftentangled_indep_qiskit_63,8,4911,12466,0,4190,1066,1558.25
qftentangled_indep_qiskit_63,16,4162,12466,0,3685,284,779.125
ghz_indep_qiskit_79,2,171,627,0,344,283,313.5
ghz_indep_qiskit_79,4,320,627,0,204,140,156.75
ghz_indep_qiskit_79,8,373,627,0,134,70,78.375
ghz_indep_qiskit_79,16,343,627,0,99,28,39.1875
qftentangled_indep_qiskit_77,2,4501,18472,0,10746,7726,9236.0
qftentangled_indep_qiskit_77,4,7443,18472,0,7299,3444,4618.0
qftentangled_indep_qiskit_77,8,8086,18472,0,5585,1705,2309.0
qftentangled_indep_qiskit_77,16,7281,18472,0,4765,525,1154.5
qnn_indep_qiskit_117,2,174,177834,0,177717,117,88917.0
qnn_indep_qiskit_117,4,201,177834,0,177659,58,44458.5
qnn_indep_qiskit_117,8,211,177834,0,177630,29,22229.25
qnn_indep_qiskit_117,16,211,177834,0,177615,14,11114.625
qft_indep_qiskit_71,2,3645,15333,0,9255,6078,7666.5
qft_indep_qiskit_71,4,6042,15333,0,6392,2860,3833.25
qft_indep_qiskit_71,8,6669,15333,0,4969,1413,1916.625
qft_indep_qiskit_71,16,5987,15333,0,4293,413,958.3125
qftentangled_indep_qiskit_113,2,315,39316,0,37260,2056,19658.0
qftentangled_indep_qiskit_113,4,382,39316,0,37098,159,9829.0
qftentangled_indep_qiskit_113,8,340,39316,0,37026,63,4914.5
qftentangled_indep_qiskit_113,16,283,39316,0,37007,7,2457.25
ghz_indep_qiskit_92,2,206,731,0,396,335,365.5
ghz_indep_qiskit_92,4,385,731,0,230,166,182.75
ghz_indep_qiskit_92,8,451,731,0,147,83,91.375
ghz_indep_qiskit_92,16,420,731,0,106,35,45.6875
ghz_indep_qiskit_86,2,190,683,0,372,311,341.5
ghz_indep_qiskit_86,4,355,683,0,218,154,170.75
ghz_indep_qiskit_86,8,415,683,0,141,77,85.375
ghz_indep_qiskit_86,16,384,683,0,103,32,42.6875
qftentangled_indep_qiskit_88,2,6050,24019,0,13760,10259,12009.5
qftentangled_indep_qiskit_88,4,10166,24019,0,9103,4654,6004.75
qftentangled_indep_qiskit_88,8,11381,24019,0,6784,2310,3002.375
qftentangled_indep_qiskit_88,16,10554,24019,0,5666,765,1501.1875
qftentangled_indep_qiskit_107,2,196,35302,0,33501,1801,17651.0
qftentangled_indep_qiskit_107,4,222,35302,0,33437,61,8825.5
qftentangled_indep_qiskit_107,8,213,35302,0,33414,14,4412.75
qftentangled_indep_qiskit_107,16,220,35302,0,33407,6,2206.375
qft_indep_qiskit_65,2,2957,12867,0,7872,4995,6433.5
qft_indep_qiskit_65,4,4901,12867,0,5538,2331,3216.75
qft_indep_qiskit_65,8,5271,12867,0,4380,1149,1608.375
qft_indep_qiskit_65,16,4587,12867,0,3835,314,804.1875
qwalk-noancilla_indep_qiskit_7,2,5,8495,0,8491,4,4247.5
qwalk-noancilla_indep_qiskit_7,4,6,8495,0,8489,2,2123.75
qwalk-noancilla_indep_qiskit_7,8,6,8495,0,8488,0,1061.875
qwalk-noancilla_indep_qiskit_7,16,6,8495,0,8488,0,530.9375
qft_indep_qiskit_59,2,2343,10617,0,6597,4020,5308.5
qft_indep_qiskit_59,4,3830,10617,0,4739,1855,2654.25
qft_indep_qiskit_59,8,4003,10617,0,3819,911,1327.125
qft_indep_qiskit_59,16,3368,10617,0,3389,229,663.5625
wstate_indep_qiskit_100,2,573,1587,0,852,735,793.5
wstate_indep_qiskit_100,4,768,1587,0,489,363,396.75
wstate_indep_qiskit_100,8,1084,1587,0,308,181,198.375
wstate_indep_qiskit_100,16,1012,1587,0,218,77,99.1875
qpeexact_indep_qiskit_91,2,135,25202,0,25111,91,12601.0
qpeexact_indep_qiskit_91,4,155,25202,0,25066,45,6300.5
qpeexact_indep_qiskit_91,8,163,25202,0,25043,22,3150.25
qpeexact_indep_qiskit_91,16,160,25202,0,25032,11,1575.125
qpeexact_indep_qiskit_85,2,126,22010,0,21925,85,11005.0
qpeexact_indep_qiskit_85,4,145,22010,0,21883,42,5502.5
qpeexact_indep_qiskit_85,8,151,22010,0,21862,21,2751.25
qpeexact_indep_qiskit_85,16,149,22010,0,21851,10,1375.625
wstate_indep_qiskit_114,2,120,1811,0,1594,217,905.5
wstate_indep_qiskit_114,4,277,1811,0,1490,104,452.75
