circuit,k,overhead,cap,max_partition_size,violated,num_qubits,cut_cost
ae_indep_qiskit_8,2,1.0,127,247,True,255,4
ae_indep_qiskit_8,2,1.1,140,247,True,255,4
ae_indep_qiskit_8,2,1.2,153,247,True,255,4
ae_indep_qiskit_8,2,1.3,165,247,True,255,4
ae_indep_qiskit_8,2,1.5,191,247,True,255,4
ae_indep_qiskit_8,4,1.0,63,243,True,255,6
ae_indep_qiskit_8,4,1.1,70,243,True,255,6
ae_indep_qiskit_8,4,1.2,76,243,True,255,6
ae_indep_qiskit_8,4,1.3,82,243,True,255,6
ae_indep_qiskit_8,4,1.5,95,243,True,255,6
ae_indep_qiskit_8,8,1.0,31,241,True,255,7
ae_indep_qiskit_8,8,1.1,35,241,True,255,7
ae_indep_qiskit_8,8,1.2,38,241,True,255,7
ae_indep_qiskit_8,8,1.3,41,241,True,255,7
ae_indep_qiskit_8,8,1.5,47,241,True,255,7
ae_indep_qiskit_7,2,1.0,100,194,True,201,9
ae_indep_qiskit_7,2,1.1,110,194,True,201,9
ae_indep_qiskit_7,2,1.2,120,194,True,201,9
ae_indep_qiskit_7,2,1.3,130,194,True,201,9
ae_indep_qiskit_7,2,1.5,150,194,True,201,9
ae_indep_qiskit_7,4,1.0,50,191,True,201,8
ae_indep_qiskit_7,4,1.1,55,191,True,201,8
ae_indep_qiskit_7,4,1.2,60,191,True,201,8
ae_indep_qiskit_7,4,1.3,65,191,True,201,8
ae_indep_qiskit_7,4,1.5,75,191,True,201,8
ae_indep_qiskit_7,8,1.0,25,189,True,201,6
ae_indep_qiskit_7,8,1.1,27,189,True,201,6
ae_indep_qiskit_7,8,1.2,30,189,True,201,6
ae_indep_qiskit_7,8,1.3,32,189,True,201,6
ae_indep_qiskit_7,8,1.5,37,189,True,201,6
ae_indep_qiskit_6,2,1.0,76,147,True,153,3
ae_indep_qiskit_6,2,1.1,84,147,True,153,3
ae_indep_qiskit_6,2,1.2,91,147,True,153,3
ae_indep_qiskit_6,2,1.3,99,147,True,153,3
ae_indep_qiskit_6,2,1.5,114,147,True,153,3
ae_indep_qiskit_6,4,1.0,38,144,True,153,7
ae_indep_qiskit_6,4,1.1,42,144,True,153,7
ae_indep_qiskit_6,4,1.2,45,144,True,153,7
ae_indep_qiskit_6,4,1.3,49,144,True,153,7
ae_indep_qiskit_6,4,1.5,57,144,True,153,7
ae_indep_qiskit_6,8,1.0,19,143,True,153,5
ae_indep_qiskit_6,8,1.1,21,143,True,153,5
ae_indep_qiskit_6,8,1.2,22,143,True,153,5
ae_indep_qiskit_6,8,1.3,24,143,True,153,5
ae_indep_qiskit_6,8,1.5,28,143,True,153,5
ae_indep_qiskit_4,2,1.0,37,71,True,75,2
ae_indep_qiskit_4,2,1.1,41,71,True,75,2
ae_indep_qiskit_4,2,1.2,45,71,True,75,2
ae_indep_qiskit_4,2,1.3,48,71,True,75,2
ae_indep_qiskit_4,2,1.5,56,71,True,75,2
ae_indep_qiskit_4,4,1.0,18,69,True,75,3
ae_indep_qiskit_4,4,1.1,20,69,True,75,3
ae_indep_qiskit_4,4,1.2,22,69,True,75,3
ae_indep_qiskit_4,4,1.3,24,69,True,75,3
ae_indep_qiskit_4,4,1.5,28,69,True,75,3
ae_indep_qiskit_4,8,1.0,9,69,True,75,3
ae_indep_qiskit_4,8,1.1,10,69,True,75,3
ae_indep_qiskit_4,8,1.2,11,69,True,75,3
ae_indep_qiskit_4,8,1.3,12,69,True,75,3
ae_indep_qiskit_4,8,1.5,14,69,True,75,3
ae_indep_qiskit_5,2,1.0,55,106,True,111,6
ae_indep_qiskit_5,2,1.1,61,106,True,111,6
ae_indep_qiskit_5,2,1.2,66,106,True,111,6
ae_indep_qiskit_5,2,1.3,72,106,True,111,6
ae_indep_qiskit_5,2,1.5,83,106,True,111,6
ae_indep_qiskit_5,4,1.0,27,104,True,111,5
ae_indep_qiskit_5,4,1.1,30,104,True,111,5
ae_indep_qiskit_5,4,1.2,33,104,True,111,5
ae_indep_qiskit_5,4,1.3,36,104,True,111,5
ae_indep_qiskit_5,4,1.5,41,104,True,111,5
ae_indep_qiskit_5,8,1.0,13,103,True,111,4
ae_indep_qiskit_5,8,1.1,15,103,True,111,4
ae_indep_qiskit_5,8,1.2,16,103,True,111,4
ae_indep_qiskit_5,8,1.3,18,103,True,111,4
ae_indep_qiskit_5,8,1.5,20,103,True,111,4
ae_indep_qiskit_3,2,1.0,22,42,True,45,3
ae_indep_qiskit_3,2,1.1,24,42,True,45,3
ae_indep_qiskit_3,2,1.2,27,42,True,45,3
ae_indep_qiskit_3,2,1.3,29,42,True,45,3
ae_indep_qiskit_3,2,1.5,33,42,True,45,3
ae_indep_qiskit_3,4,1.0,11,41,True,45,2
ae_indep_qiskit_3,4,1.1,12,41,True,45,2
ae_indep_qiskit_3,4,1.2,13,41,True,45,2
ae_indep_qiskit_3,4,1.3,14,41,True,45,2
ae_indep_qiskit_3,4,1.5,16,41,True,45,2
ae_indep_qiskit_3,8,1.0,5,41,True,45,2
ae_indep_qiskit_3,8,1.1,6,41,True,45,2
ae_indep_qiskit_3,8,1.2,6,41,True,45,2
ae_indep_qiskit_3,8,1.3,7,41,True,45,2
ae_indep_qiskit_3,8,1.5,8,41,True,45,2
