circuit,num_qubits,k,slack,cap_q,violated_capacity_aware,kh_ran,violated_kahypar,kahypar_violation_magnitude
ae_indep_qiskit_8,255,4,0,63,True,False,False,0
ae_indep_qiskit_8,255,4,1,64,True,False,False,0
ae_indep_qiskit_8,255,4,2,65,True,False,False,0
ae_indep_qiskit_8,255,4,3,66,True,False,False,0
ae_indep_qiskit_8,255,4,4,67,True,False,False,0
ae_indep_qiskit_8,255,4,5,68,True,False,False,0
ae_indep_qiskit_8,255,4,6,69,True,False,False,0
ae_indep_qiskit_8,255,4,7,70,True,False,False,0
ae_indep_qiskit_8,255,4,8,71,True,False,False,0
ae_indep_qiskit_8,255,4,9,72,True,False,False,0
ae_indep_qiskit_8,255,4,10,73,True,False,False,0
ae_indep_qiskit_7,201,4,0,50,True,False,False,0
ae_indep_qiskit_7,201,4,1,51,True,False,False,0
ae_indep_qiskit_7,201,4,2,52,True,False,False,0
ae_indep_qiskit_7,201,4,3,53,True,False,False,0
ae_indep_qiskit_7,201,4,4,54,True,False,False,0
ae_indep_qiskit_7,201,4,5,55,True,False,False,0
ae_indep_qiskit_7,201,4,6,56,True,False,False,0
ae_indep_qiskit_7,201,4,7,57,True,False,False,0
ae_indep_qiskit_7,201,4,8,58,True,False,False,0
ae_indep_qiskit_7,201,4,9,59,True,False,False,0
ae_indep_qiskit_7,201,4,10,60,True,False,False,0
ae_indep_qiskit_6,153,4,0,38,True,False,False,0
ae_indep_qiskit_6,153,4,1,39,True,False,False,0
ae_indep_qiskit_6,153,4,2,40,True,False,False,0
ae_indep_qiskit_6,153,4,3,41,True,False,False,0
ae_indep_qiskit_6,153,4,4,42,True,False,False,0
ae_indep_qiskit_6,153,4,5,43,True,False,False,0
ae_indep_qiskit_6,153,4,6,44,True,False,False,0
ae_indep_qiskit_6,153,4,7,45,True,False,False,0
ae_indep_qiskit_6,153,4,8,46,True,False,False,0
ae_indep_qiskit_6,153,4,9,47,True,False,False,0
ae_indep_qiskit_6,153,4,10,48,True,False,False,0
ae_indep_qiskit_4,75,4,0,18,True,False,False,0
ae_indep_qiskit_4,75,4,1,19,True,False,False,0
ae_indep_qiskit_4,75,4,2,20,True,False,False,0
ae_indep_qiskit_4,75,4,3,21,True,False,False,0
ae_indep_qiskit_4,75,4,4,22,True,False,False,0
ae_indep_qiskit_4,75,4,5,23,True,False,False,0
ae_indep_qiskit_4,75,4,6,24,True,False,False,0
ae_indep_qiskit_4,75,4,7,25,True,False,False,0
ae_indep_qiskit_4,75,4,8,26,True,False,False,0
ae_indep_qiskit_4,75,4,9,27,True,False,False,0
ae_indep_qiskit_4,75,4,10,28,True,False,False,0
ae_indep_qiskit_5,111,4,0,27,True,False,False,0
ae_indep_qiskit_5,111,4,1,28,True,False,False,0
ae_indep_qiskit_5,111,4,2,29,True,False,False,0
ae_indep_qiskit_5,111,4,3,30,True,False,False,0
ae_indep_qiskit_5,111,4,4,31,True,False,False,0
ae_indep_qiskit_5,111,4,5,32,True,False,False,0
ae_indep_qiskit_5,111,4,6,33,True,False,False,0
ae_indep_qiskit_5,111,4,7,34,True,False,False,0
ae_indep_qiskit_5,111,4,8,35,True,False,False,0
ae_indep_qiskit_5,111,4,9,36,True,False,False,0
ae_indep_qiskit_5,111,4,10,37,True,False,False,0
ae_indep_qiskit_3,45,4,0,11,True,False,False,0
ae_indep_qiskit_3,45,4,1,12,True,False,False,0
ae_indep_qiskit_3,45,4,2,13,True,False,False,0
ae_indep_qiskit_3,45,4,3,14,True,False,False,0
ae_indep_qiskit_3,45,4,4,15,True,False,False,0
ae_indep_qiskit_3,45,4,5,16,True,False,False,0
ae_indep_qiskit_3,45,4,6,17,True,False,False,0
ae_indep_qiskit_3,45,4,7,18,True,False,False,0
ae_indep_qiskit_3,45,4,8,19,True,False,False,0
ae_indep_qiskit_3,45,4,9,20,True,False,False,0
ae_indep_qiskit_3,45,4,10,21,True,False,False,0
