circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
ae_indep_qiskit_10,10,381,371,10,317,3,1.0,4,430.0,150.0,0.3488372093023256,600.0005168914795,0.009469985961914,NODE-LEVEL-TIMED,"[4, 4, 4]","[4, 4, 4]","[4, 3, 3]","[7, 2, 1]"
ae_indep_qiskit_10,10,381,371,10,317,3,1.1,4,430.0,150.0,0.3488372093023256,600.000522851944,0.0092229843139648,NODE-LEVEL-TIMED,"[4, 4, 4]","[4, 4, 4]","[4, 3, 3]","[7, 2, 1]"
ae_indep_qiskit_10,10,381,371,10,317,3,1.2,4,430.0,150.0,0.3488372093023256,600.0005011558533,0.0095050334930419,NODE-LEVEL-TIMED,"[4, 4, 4]","[4, 4, 4]","[4, 3, 3]","[7, 2, 1]"
ae_indep_qiskit_10,10,381,371,10,317,3,1.3,5,480.0,330.0,0.6875,600.0004842281342,0.0089740753173828,NODE-LEVEL-TIMED,"[5, 5, 5]","[5, 5, 5]","[5, 3, 2]","[5, 3, 2]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.0,2,160.0,50.0,0.3125,0.0273289680480957,0.0023639202117919,NODE-LEVEL-TIMED,"[2, 2, 2]","[2, 2, 2]","[2, 2, 2]","[3, 1, 2]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.1,3,170.0,90.0,0.5294117647058824,600.0002098083496,0.0018551349639892,NODE-LEVEL-TIMED,"[3, 3, 3]","[3, 3, 3]","[3, 2, 1]","[4, 1, 1]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.2,3,170.0,90.0,0.5294117647058824,600.0002031326294,0.0017409324645996,NODE-LEVEL-TIMED,"[3, 3, 3]","[3, 3, 3]","[3, 2, 1]","[4, 1, 1]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.3,3,170.0,90.0,0.5294117647058824,600.000216960907,0.0018839836120605,NODE-LEVEL-TIMED,"[3, 3, 3]","[3, 3, 3]","[3, 2, 1]","[4, 1, 1]"
ae_indep_qiskit_7,7,201,194,7,167,3,1.0,3,190.0,90.0,0.4736842105263157,600.0002818107605,0.0029568672180175,NODE-LEVEL-TIMED,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[5, 1, 1]"
ae_indep_qiskit_7,7,201,194,7,167,3,1.1,3,190.0,90.0,0.4736842105263157,600.0002799034119,0.003105878829956,NODE-LEVEL-TIMED,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[5, 1, 1]"
