circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
ae_indep_qiskit_3,3,45,42,3,37,3,1.0,1,50.0,50.0,1.0,0.0009050369262695312,0.00040912628173828125,NODE-LEVEL-TIMED,3,False,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ae_indep_qiskit_3,3,45,42,3,37,3,1.1,2,20.0,30.0,1.5,1.009809970855713,0.0004978179931640625,NODE-LEVEL-TIMED,18,False,"[2, 2, 2]","[2, 2, 1]","[1, 1, 1]","[1, 2, 0]"
ae_indep_qiskit_3,3,45,42,3,37,3,1.2,2,20.0,30.0,1.5,1.0395867824554443,0.0004668235778808594,NODE-LEVEL-TIMED,18,False,"[2, 2, 2]","[2, 2, 1]","[1, 1, 1]","[1, 2, 0]"
ae_indep_qiskit_3,3,45,42,3,37,3,1.3,2,20.0,30.0,1.5,1.046570062637329,0.00045371055603027344,NODE-LEVEL-TIMED,18,False,"[2, 2, 2]","[2, 2, 1]","[1, 1, 1]","[1, 2, 0]"
ae_indep_qiskit_4,4,75,71,4,62,3,1.0,2,40.0,50.0,1.25,7.5467400550842285,0.0008072853088378906,NODE-LEVEL-TIMED,31,False,"[2, 2, 2]","[2, 2, 2]","[0, 2, 2]","[1, 1, 2]"
ae_indep_qiskit_4,4,75,71,4,62,3,1.1,2,40.0,50.0,1.25,7.526491165161133,0.0008089542388916016,NODE-LEVEL-TIMED,31,False,"[2, 2, 2]","[2, 2, 2]","[0, 2, 2]","[1, 1, 2]"
ae_indep_qiskit_4,4,75,71,4,62,3,1.2,2,40.0,50.0,1.25,7.492210865020752,0.0008029937744140625,NODE-LEVEL-TIMED,31,False,"[2, 2, 2]","[2, 2, 2]","[0, 2, 2]","[1, 1, 2]"
ae_indep_qiskit_4,4,75,71,4,62,3,1.3,2,40.0,50.0,1.25,7.532227993011475,0.0007622241973876953,NODE-LEVEL-TIMED,31,False,"[2, 2, 2]","[2, 2, 2]","[0, 2, 2]","[1, 1, 2]"
ae_indep_qiskit_5,5,111,106,5,92,3,1.0,2,90.0,50.0,0.5555555555555556,52.3201220035553,0.0013811588287353516,NODE-LEVEL-TIMED,24,False,"[2, 2, 2]","[2, 2, 2]","[2, 2, 1]","[2, 1, 2]"
ae_indep_qiskit_5,5,111,106,5,92,3,1.1,2,90.0,50.0,0.5555555555555556,51.73059296607971,0.001386880874633789,NODE-LEVEL-TIMED,24,False,"[2, 2, 2]","[2, 2, 2]","[2, 2, 1]","[2, 1, 2]"
ae_indep_qiskit_5,5,111,106,5,92,3,1.2,2,90.0,50.0,0.5555555555555556,52.52357602119446,0.0014510154724121094,NODE-LEVEL-TIMED,24,False,"[2, 2, 2]","[2, 2, 2]","[2, 2, 1]","[2, 1, 2]"
ae_indep_qiskit_5,5,111,106,5,92,3,1.3,3,150.0,90.0,0.6,600.0002009868622,0.001149892807006836,NODE-LEVEL-TIMED,15,False,"[3, 3, 3]","[3, 3, 3]","[2, 1, 2]","[3, 1, 1]"
dj_indep_qiskit_3,3,22,20,2,17,3,1.0,1,20.0,20.0,1.0,0.0002620220184326172,0.00015020370483398438,NODE-LEVEL-TIMED,2,False,"[1, 1, 1]","[1, 1, 1]","[1, 1, 0]","[1, 1, 0]"
dj_indep_qiskit_3,3,22,20,2,17,3,1.1,2,10.0,20.0,2.0,0.002248048782348633,0.0001919269561767578,NODE-LEVEL-TIMED,16,False,"[2, 2, 1]","[2, 2, 1]","[1, 1, 0]","[1, 1, 0]"
dj_indep_qiskit_3,3,22,20,2,17,3,1.2,2,10.0,20.0,2.0,0.002170085906982422,0.0001690387725830078,NODE-LEVEL-TIMED,16,False,"[2, 2, 1]","[2, 2, 1]","[1, 1, 0]","[1, 1, 0]"
dj_indep_qiskit_3,3,22,20,2,17,3,1.3,2,10.0,20.0,2.0,0.002228975296020508,0.00018787384033203125,NODE-LEVEL-TIMED,16,False,"[2, 2, 1]","[2, 2, 1]","[1, 1, 0]","[1, 1, 0]"
dj_indep_qiskit_4,4,32,29,3,25,3,1.0,2,10.0,20.0,2.0,0.00430607795715332,0.0002968311309814453,NODE-LEVEL-TIMED,18,False,"[2, 1, 2]","[2, 2, 2]","[1, 1, 1]","[1, 1, 1]"
dj_indep_qiskit_4,4,32,29,3,25,3,1.1,2,10.0,20.0,2.0,0.004018068313598633,0.0002551078796386719,NODE-LEVEL-TIMED,18,False,"[2, 1, 2]","[2, 2, 2]","[1, 1, 1]","[1, 1, 1]"
dj_indep_qiskit_4,4,32,29,3,25,3,1.2,2,10.0,20.0,2.0,0.0038657188415527344,0.00024127960205078125,NODE-LEVEL-TIMED,18,False,"[2, 1, 2]","[2, 2, 2]","[1, 1, 1]","[1, 1, 1]"
dj_indep_qiskit_4,4,32,29,3,25,3,1.3,2,10.0,20.0,2.0,0.003902912139892578,0.0002968311309814453,NODE-LEVEL-TIMED,18,False,"[2, 1, 2]","[2, 2, 2]","[1, 1, 1]","[1, 1, 1]"
dj_indep_qiskit_5,5,42,38,4,33,3,1.0,2,20.0,20.0,1.0,0.018952131271362305,0.0003941059112548828,NODE-LEVEL-TIMED,17,False,"[2, 2, 2]","[2, 2, 2]","[1, 2, 1]","[2, 1, 1]"
dj_indep_qiskit_5,5,42,38,4,33,3,1.1,2,20.0,20.0,1.0,0.018873929977416992,0.0004019737243652344,NODE-LEVEL-TIMED,17,False,"[2, 2, 2]","[2, 2, 2]","[1, 2, 1]","[2, 1, 1]"
dj_indep_qiskit_5,5,42,38,4,33,3,1.2,2,20.0,20.0,1.0,0.01876664161682129,0.00037097930908203125,NODE-LEVEL-TIMED,17,False,"[2, 2, 2]","[2, 2, 2]","[1, 2, 1]","[2, 1, 1]"
dj_indep_qiskit_5,5,42,38,4,33,3,1.3,3,10.0,30.0,3.0,0.06881999969482422,0.0003800392150878906,NODE-LEVEL-TIMED,26,False,"[3, 1, 2]","[3, 2, 3]","[2, 1, 1]","[2, 0, 2]"
ghz_indep_qiskit_3,3,19,16,3,14,3,1.0,1,20.0,20.0,1.0,0.00027489662170410156,0.00012803077697753906,NODE-LEVEL-TIMED,3,False,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ghz_indep_qiskit_3,3,19,16,3,14,3,1.1,2,10.0,20.0,2.0,0.0012559890747070312,0.00015091896057128906,NODE-LEVEL-TIMED,13,False,"[2, 2, 1]","[2, 2, 1]","[1, 2, 0]","[2, 1, 0]"
ghz_indep_qiskit_3,3,19,16,3,14,3,1.2,2,10.0,20.0,2.0,0.0013399124145507812,0.0001468658447265625,NODE-LEVEL-TIMED,13,False,"[2, 2, 1]","[2, 2, 1]","[1, 2, 0]","[2, 1, 0]"
ghz_indep_qiskit_3,3,19,16,3,14,3,1.3,2,10.0,20.0,2.0,0.0013561248779296875,0.00016427040100097656,NODE-LEVEL-TIMED,13,False,"[2, 2, 1]","[2, 2, 1]","[1, 2, 0]","[2, 1, 0]"
ghz_indep_qiskit_4,4,27,23,4,20,3,1.0,2,10.0,20.0,2.0,0.0012969970703125,0.0002079010009765625,NODE-LEVEL-TIMED,15,False,"[2, 2, 2]","[2, 2, 2]","[1, 2, 1]","[2, 1, 1]"
ghz_indep_qiskit_4,4,27,23,4,20,3,1.1,2,10.0,20.0,2.0,0.0012941360473632812,0.00020122528076171875,NODE-LEVEL-TIMED,15,False,"[2, 2, 2]","[2, 2, 2]","[1, 2, 1]","[2, 1, 1]"
ghz_indep_qiskit_4,4,27,23,4,20,3,1.2,2,10.0,20.0,2.0,0.001271963119506836,0.00019598007202148438,NODE-LEVEL-TIMED,15,False,"[2, 2, 2]","[2, 2, 2]","[1, 2, 1]","[2, 1, 1]"
