circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
ae_indep_qiskit_10,10,381,371,10,317,3,1.0,4,430.0,150.0,0.3488372093023256,600.0005168914795,0.009469985961914062,NODE-LEVEL-TIMED,7,False,"[4, 4, 4]","[4, 4, 4]","[4, 3, 3]","[7, 2, 1]"
ae_indep_qiskit_10,10,381,371,10,317,3,1.1,4,430.0,150.0,0.3488372093023256,600.000522851944,0.009222984313964844,NODE-LEVEL-TIMED,7,False,"[4, 4, 4]","[4, 4, 4]","[4, 3, 3]","[7, 2, 1]"
ae_indep_qiskit_10,10,381,371,10,317,3,1.2,4,430.0,150.0,0.3488372093023256,600.0005011558533,0.009505033493041992,NODE-LEVEL-TIMED,7,False,"[4, 4, 4]","[4, 4, 4]","[4, 3, 3]","[7, 2, 1]"
ae_indep_qiskit_10,10,381,371,10,317,3,1.3,5,480.0,330.0,0.6875,600.0004842281342,0.008974075317382812,NODE-LEVEL-TIMED,12,False,"[5, 5, 5]","[5, 5, 5]","[5, 3, 2]","[5, 3, 2]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.0,2,160.0,50.0,0.3125,0.027328968048095703,0.002363920211791992,NODE-LEVEL-TIMED,5,False,"[2, 2, 2]","[2, 2, 2]","[2, 2, 2]","[3, 1, 2]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.1,3,170.0,90.0,0.5294117647058824,600.0002098083496,0.0018551349639892578,NODE-LEVEL-TIMED,12,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 1]","[4, 1, 1]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.2,3,170.0,90.0,0.5294117647058824,600.0002031326294,0.0017409324645996094,NODE-LEVEL-TIMED,12,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 1]","[4, 1, 1]"
ae_indep_qiskit_6,6,153,147,6,127,3,1.3,3,170.0,90.0,0.5294117647058824,600.000216960907,0.0018839836120605469,NODE-LEVEL-TIMED,12,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 1]","[4, 1, 1]"
ae_indep_qiskit_7,7,201,194,7,167,3,1.0,3,190.0,90.0,0.47368421052631576,600.0002818107605,0.002956867218017578,NODE-LEVEL-TIMED,60,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[5, 1, 1]"
ae_indep_qiskit_7,7,201,194,7,167,3,1.1,3,190.0,90.0,0.47368421052631576,600.0002799034119,0.0031058788299560547,NODE-LEVEL-TIMED,60,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[5, 1, 1]"
ae_indep_qiskit_7,7,201,194,7,167,3,1.2,3,190.0,90.0,0.47368421052631576,600.0002670288086,0.0029320716857910156,NODE-LEVEL-TIMED,60,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[5, 1, 1]"
ae_indep_qiskit_7,7,201,194,7,167,3,1.3,4,340.0,150.0,0.4411764705882353,600.0003299713135,0.0025551319122314453,NODE-LEVEL-TIMED,60,False,"[4, 4, 4]","[4, 4, 4]","[3, 2, 2]","[4, 2, 1]"
ae_indep_qiskit_8,8,255,247,8,212,3,1.0,3,240.0,90.0,0.375,600.0003221035004,0.004580974578857422,NODE-LEVEL-TIMED,37,False,"[3, 3, 3]","[3, 3, 3]","[2, 3, 3]","[6, 1, 1]"
ae_indep_qiskit_8,8,255,247,8,212,3,1.1,3,240.0,90.0,0.375,600.0003106594086,0.004497051239013672,NODE-LEVEL-TIMED,37,False,"[3, 3, 3]","[3, 3, 3]","[2, 3, 3]","[6, 1, 1]"
ae_indep_qiskit_8,8,255,247,8,212,3,1.2,4,330.0,230.0,0.696969696969697,600.0003440380096,0.0045697689056396484,NODE-LEVEL-TIMED,15,False,"[4, 4, 4]","[4, 4, 3]","[4, 3, 1]","[4, 2, 2]"
ae_indep_qiskit_8,8,255,247,8,212,3,1.3,4,330.0,230.0,0.696969696969697,600.0003490447998,0.004523038864135742,NODE-LEVEL-TIMED,15,False,"[4, 4, 4]","[4, 4, 3]","[4, 3, 1]","[4, 2, 2]"
ae_indep_qiskit_9,9,315,306,9,262,3,1.0,3,330.0,90.0,0.2727272727272727,2.3594141006469727,0.00710606575012207,NODE-LEVEL-TIMED,7,False,"[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[7, 1, 1]"
ae_indep_qiskit_9,9,315,306,9,262,3,1.1,4,310.0,150.0,0.4838709677419355,600.0003941059113,0.0064127445220947266,NODE-LEVEL-TIMED,43,False,"[4, 4, 4]","[4, 4, 4]","[2, 3, 4]","[6, 2, 1]"
ae_indep_qiskit_9,9,315,306,9,262,3,1.2,4,310.0,150.0,0.4838709677419355,600.0004210472107,0.0063059329986572266,NODE-LEVEL-TIMED,43,False,"[4, 4, 4]","[4, 4, 4]","[2, 3, 4]","[6, 2, 1]"
ae_indep_qiskit_9,9,315,306,9,262,3,1.3,4,310.0,150.0,0.4838709677419355,600.0005040168762,0.00623011589050293,NODE-LEVEL-TIMED,43,False,"[4, 4, 4]","[4, 4, 4]","[2, 3, 4]","[6, 2, 1]"
dj_indep_qiskit_10,10,92,83,9,73,3,1.0,4,30.0,50.0,1.6666666666666667,600.0002479553223,0.0008358955383300781,NODE-LEVEL-TIMED,84,False,"[4, 4, 4]","[4, 4, 4]","[3, 3, 3]","[4, 2, 3]"
dj_indep_qiskit_10,10,92,83,9,73,3,1.1,4,30.0,50.0,1.6666666666666667,600.0001442432404,0.0008370876312255859,NODE-LEVEL-TIMED,84,False,"[4, 4, 4]","[4, 4, 4]","[3, 3, 3]","[4, 2, 3]"
