circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.0,2,40.0,92.0,2.3,0.0498759746551513,0.0006101131439208,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.1,2,40.0,92.0,2.3,0.038529634475708,0.0005640983581542,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.2,2,40.0,92.0,2.3,0.038503885269165,0.0005450248718261,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.3,2,40.0,92.0,2.3,0.0382440090179443,0.0005278587341308,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.4,2,40.0,92.0,2.3,0.0379111766815185,0.0005609989166259,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.5,2,40.0,92.0,2.3,0.0383400917053222,0.0005371570587158,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 1, 0]","[3, 0, 0]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.0,2,20.0,84.0,4.2,0.1043829917907714,0.0004651546478271,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.1,2,20.0,84.0,4.2,0.1040892601013183,0.0004670619964599,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.2,2,20.0,84.0,4.2,0.1054708957672119,0.0005230903625488,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.3,2,20.0,84.0,4.2,0.1049902439117431,0.0005419254302978,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.4,2,20.0,84.0,4.2,0.1054961681365966,0.0005388259887695,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.5,2,20.0,84.0,4.2,0.1054940223693847,0.0004971027374267,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.0,2,40.0,124.0,3.1,0.6780750751495361,0.000868797302246,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.1,2,40.0,124.0,3.1,0.6763849258422852,0.000864028930664,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.2,2,40.0,124.0,3.1,0.6756041049957275,0.0008482933044433,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.3,3,20.0,115.0,5.75,1.5605089664459229,0.000478982925415,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.4,3,20.0,115.0,5.75,1.5783166885375977,0.0004773139953613,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.5,3,20.0,115.0,5.75,1.570073127746582,0.0004830360412597,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
qpeinexact_indep_qiskit_5,5,90,86,4,73,3,1.0,2,80.0,92.0,1.15,0.3044741153717041,0.0013098716735839,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 0]","[2, 1, 1]"
qpeinexact_indep_qiskit_5,5,90,86,4,73,3,1.1,2,80.0,92.0,1.15,0.302225112915039,0.0013020038604736,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 0]","[2, 1, 1]"
qpeinexact_indep_qiskit_5,5,90,86,4,73,3,1.2,2,80.0,92.0,1.15,0.2999799251556396,0.0014028549194335,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 0]","[2, 1, 1]"
qpeinexact_indep_qiskit_5,5,90,86,4,73,3,1.3,3,60.0,173.0,2.8833333333333333,0.6970641613006592,0.0009458065032958,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[2, 2, 0]","[0, 0, 4]"
qpeinexact_indep_qiskit_5,5,90,86,4,73,3,1.4,3,60.0,173.0,2.8833333333333333,0.7039580345153809,0.000946044921875,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[2, 2, 0]","[0, 0, 4]"
qpeinexact_indep_qiskit_5,5,90,86,4,73,3,1.5,3,60.0,173.0,2.8833333333333333,0.698599100112915,0.0009379386901855,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[2, 2, 0]","[0, 0, 4]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.0,1,90.0,92.0,1.022222222222222,0.007308006286621,0.0008809566497802,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.1,2,60.0,211.0,3.5166666666666666,0.0328688621520996,0.0007288455963134,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.2,2,60.0,211.0,3.5166666666666666,0.0223550796508789,0.0007450580596923,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.3,2,60.0,211.0,3.5166666666666666,0.0226609706878662,0.0007340908050537,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.4,2,60.0,211.0,3.5166666666666666,0.0220270156860351,0.0007119178771972,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.5,2,60.0,211.0,3.5166666666666666,0.0222449302673339,0.0007421970367431,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.0,2,240.0,323.0,1.3458333333333334,2.7750561237335205,0.0501010417938232,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.1,2,240.0,323.0,1.3458333333333334,2.744396209716797,0.0122313499450683,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.2,2,240.0,323.0,1.3458333333333334,2.7781970500946045,0.012531042098999,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.3,3,180.0,473.0,2.6277777777777778,6.535636901855469,0.0113720893859863,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[2, 1, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.4,3,180.0,473.0,2.6277777777777778,7.061016798019409,0.0125129222869873,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[2, 1, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.5,3,180.0,473.0,2.6277777777777778,6.826047897338867,0.0103061199188232,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[2, 1, 2]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.0,2,600.0,1372.0,2.286666666666666,1.4407129287719729,0.0603048801422119,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.1,2,600.0,1372.0,2.286666666666666,1.434678077697754,0.0595729351043701,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.2,2,600.0,1372.0,2.286666666666666,1.4556560516357422,0.0598728656768798,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.3,2,600.0,1372.0,2.286666666666666,1.433906316757202,0.0598649978637695,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.4,2,600.0,1372.0,2.286666666666666,1.4321091175079346,0.0699830055236816,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.5,2,600.0,1372.0,2.286666666666666,1.4299843311309814,0.0606889724731445,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
