circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.0,2,41.0,60.0,1.4634146341463414,0.0017189979553222656,0.0005431175231933594,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.1,2,41.0,60.0,1.4634146341463414,0.0014040470123291016,0.0004780292510986328,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.2,2,41.0,60.0,1.4634146341463414,0.0016536712646484375,0.0004971027374267578,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.3,2,41.0,60.0,1.4634146341463414,0.001566171646118164,0.0004591941833496094,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.0,2,22.0,40.0,1.8181818181818181,0.0011661052703857422,0.0005457401275634766,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.1,2,22.0,40.0,1.8181818181818181,0.0014111995697021484,0.00047707557678222656,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.2,2,22.0,40.0,1.8181818181818181,0.0012631416320800781,0.0004220008850097656,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.3,2,22.0,40.0,1.8181818181818181,0.0012459754943847656,0.0005071163177490234,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.0,2,43.0,40.0,0.9302325581395349,0.002547025680541992,0.0006031990051269531,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.1,2,43.0,40.0,0.9302325581395349,0.002637624740600586,0.0005917549133300781,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
