circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.0,2,41.0,60.0,1.4634146341463414,0.002379894256591797,0.0005462169647216797,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.1,2,41.0,60.0,1.4634146341463414,0.0013661384582519531,0.0004878044128417969,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.2,2,41.0,60.0,1.4634146341463414,0.0014438629150390625,0.000492095947265625,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
qpeinexact_indep_qiskit_4,4,56,53,3,45,3,1.3,2,41.0,60.0,1.4634146341463414,0.0014598369598388672,0.00047588348388671875,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[3, 0, 0]","[1, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.0,2,22.0,40.0,1.8181818181818181,0.0012760162353515625,0.00045180320739746094,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.1,2,22.0,40.0,1.8181818181818181,0.0012149810791015625,0.00041675567626953125,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.2,2,22.0,40.0,1.8181818181818181,0.0012252330780029297,0.0004189014434814453,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_4,4,51,47,4,41,3,1.3,2,22.0,40.0,1.8181818181818181,0.0014390945434570312,0.0005209445953369141,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.0,2,43.0,40.0,0.9302325581395349,0.0028133392333984375,0.0006289482116699219,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.1,2,43.0,40.0,0.9302325581395349,0.002833843231201172,0.0006129741668701172,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
wstate_indep_qiskit_5,5,67,62,5,54,3,1.2,2,43.0,40.0,0.9302325581395349,0.0028297901153564453,0.0007288455963134766,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
