model,num_qubits,workload_id,hdh_file,cut_cost,heuristic_time,k,cap,success
Circuit,2,1,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_2q_w1.pkl,3,0.0002942085266113281,4,1,True
Circuit,2,2,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_2q_w2.pkl,5,0.0006518363952636719,4,1,True
Circuit,2,3,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_2q_w3.pkl,5,0.0005981922149658203,4,1,True
Circuit,2,4,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_2q_w4.pkl,8,0.0013270378112792969,4,1,True
Circuit,2,5,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_2q_w5.pkl,4,0.0002849102020263672,4,1,True
Circuit,12,1,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_12q_w1.pkl,5,0.0035190582275390625,4,4,True
Circuit,12,2,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_12q_w2.pkl,13,0.0034019947052001953,4,4,True
Circuit,12,3,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_12q_w3.pkl,18,0.005098104476928711,4,4,True
Circuit,12,4,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_12q_w4.pkl,6,0.003776073455810547,4,4,True
Circuit,12,5,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_12q_w5.pkl,16,0.0064640045166015625,4,4,True
Circuit,22,1,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_22q_w1.pkl,32,0.024684906005859375,4,8,True
Circuit,22,2,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_22q_w2.pkl,31,0.016003847122192383,4,8,True
Circuit,22,3,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_22q_w3.pkl,21,0.004784107208251953,4,8,True
Circuit,22,4,/Users/mariagragera/Desktop/HDH/database/HDHs/Circuit/Random/circuit_22q_w4.pkl,11,0.002772092819213867,4,8,True
