,,cut_cost,cut_cost,cut_cost,cut_cost,heuristic_time,heuristic_time,heuristic_time,heuristic_time,workload_id
,,mean,std,min,max,mean,std,min,max,count
model,num_qubits,,,,,,,,,
Circuit,2,5.0,1.8708,3,8,0.0006,0.0004,0.0003,0.0013,5
Circuit,12,11.6,5.8566,5,18,0.0045,0.0013,0.0034,0.0065,5
Circuit,22,22.8,8.7864,11,32,0.0113,0.009,0.0028,0.0247,5
Circuit,32,26.2,10.2567,10,38,0.0133,0.0061,0.0059,0.0221,5
Circuit,42,41.4,18.4472,11,58,0.0268,0.0145,0.0103,0.0492,5
Circuit,52,41.0,29.2489,11,72,0.0263,0.0177,0.0075,0.0437,5
Circuit,62,60.8,21.9818,22,75,0.0438,0.0177,0.0143,0.0599,5
Circuit,72,55.8,17.1814,40,84,0.0369,0.0188,0.0212,0.0688,5
Circuit,82,72.0,48.0677,15,114,0.0767,0.052,0.0187,0.138,5
Circuit,92,62.4,50.2822,6,120,0.0608,0.0485,0.0153,0.1153,5
Circuit,102,92.6,58.2692,29,151,0.1054,0.0949,0.0227,0.2541,5
Circuit,112,103.0,58.1507,30,165,0.1251,0.0977,0.0265,0.229,5
Circuit,122,118.0,50.8576,52,168,0.1429,0.1128,0.04,0.2675,5
Circuit,132,74.6,24.4193,35,98,0.0507,0.0256,0.0363,0.0961,5
Circuit,142,80.8,43.8714,30,146,0.0742,0.0407,0.0272,0.1286,5
Circuit,152,76.0,20.0873,56,98,0.075,0.0343,0.0419,0.1325,5
Circuit,162,168.6,29.0998,122,193,0.2383,0.067,0.1258,0.2944,5
Circuit,172,131.2,39.7077,88,187,0.1132,0.0851,0.0556,0.2631,5
Circuit,182,141.4,90.0905,39,229,0.2056,0.1138,0.0703,0.3526,5
Circuit,192,169.8,99.9835,45,277,0.3102,0.2763,0.0667,0.7107,5
Circuit,202,183.2,96.2845,58,282,0.3695,0.2136,0.0608,0.5726,5
Circuit,212,160.8,69.7402,82,236,0.2327,0.1571,0.0572,0.372,5
Circuit,222,217.0,94.7365,58,292,0.4874,0.3176,0.0554,0.95,5
Circuit,232,205.2,72.7406,107,287,0.4206,0.3863,0.0915,0.8583,5
Circuit,242,216.6,54.5646,152,298,0.2912,0.2193,0.1053,0.66,5
Circuit,252,188.6,117.7192,36,355,0.3432,0.4336,0.0575,1.0994,5
Circuit,262,195.4,120.4006,50,359,0.4257,0.3621,0.0928,1.0401,5
Circuit,272,170.6,112.4758,76,351,0.3584,0.4218,0.126,1.1103,5
Circuit,282,205.4,76.989,101,302,0.3263,0.3038,0.074,0.684,5
Circuit,292,230.2,139.29,69,410,0.4626,0.4468,0.1149,1.1589,5
Circuit,302,271.0,131.3354,55,390,0.6819,0.3585,0.1421,1.0421,5
Circuit,312,234.6,118.1156,110,429,0.5293,0.6816,0.0798,1.7231,5
